,wine,variety,country,points,price,taster
1319,Yealands 2016 Single Vineyard Sauvignon Blanc (Awatere Valley),Sauvignon Blanc,New Zealand,90,25.0,Joe Czerwinski
1334,Damiani 2015 Little Lotus Flower Sauvignon Blanc (Finger Lakes),Sauvignon Blanc,US,90,22.0,Anna Lee C. Iijima
1461,Joseph Phelps 2015 Estate Grown Sauvignon Blanc (St. Helena),Sauvignon Blanc,US,93,35.0,Virginie Boone
1483,Fournier Père et Fils 2006 Fournier  (Menetou-Salon),Sauvignon Blanc,France,85,19.0,Roger Voss
1484,Barker's Marque 2007 Arona Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,85,11.0,Joe Czerwinski
1543,Jidvei 2015 Nec Plus Ultra Demisec Sauvignon Blanc (Jidvei),Sauvignon Blanc,Romania,85,10.0,Jeff Jenssen
1549,Valdivieso 2016 Sauvignon Blanc (Central Valley),Sauvignon Blanc,Chile,85,10.0,Michael Schachner
1593,Château Larrivet Haut-Brion 2014 Les Hauts de Larrivet Haut-Brion  (Pessac-Léognan),Sauvignon Blanc,France,88,30.0,Roger Voss
1605,Mills Reef 2014 Reserve Sauvignon Blanc (Hawke's Bay),Sauvignon Blanc,New Zealand,87,18.0,Joe Czerwinski
1614,Château de Rochemorin 2013  Pessac-Léognan,Sauvignon Blanc,France,87,26.0,Roger Voss
1623,Paul Buisse 2016 Sauvignon Blanc (Touraine),Sauvignon Blanc,France,85,13.0,Roger Voss
1628,Jean-Max Roger 2015 Le Charnay  (Menetou-Salon),Sauvignon Blanc,France,85,22.0,Roger Voss
1686,Melrose 2010 Sauvignon Blanc (Umpqua Valley),Sauvignon Blanc,US,90,18.0,Paul Gregutt
1757,Domaine Beausejour 2014 Les Grenettes Sauvignon Blanc (Touraine),Sauvignon Blanc,France,84,15.0,Roger Voss
1765,Cap Royal 2014  Bordeaux Blanc,Sauvignon Blanc,France,84,12.0,Roger Voss
1813,Real Companhia Velha 2014 Quinta de Cidrô Sauvignon Blanc (Duriense),Sauvignon Blanc,Portugal,85,20.0,Roger Voss
1834,Bota Box 2013 Sauvignon Blanc (California),Sauvignon Blanc,US,84,23.0,Jim Gordon
1842,Marilyn Sauvignon Blonde 2013 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,83,16.0,Virginie Boone
1917,Errazuriz 2012 Max Reserva Sauvignon Blanc (Aconcagua Valley),Sauvignon Blanc,Chile,87,19.0,Michael Schachner
1951,Pezat 2012  Bordeaux Blanc,Sauvignon Blanc,France,86,15.0,Roger Voss
1952,Purlieu 2012 Le Pich Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,86,24.0,
2062,Broman 2008 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,91,17.0,
2078,Concha y Toro 2008 Terrunyo El Triángulo Vineyard Block: 28 Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Chile,90,25.0,Michael Schachner
2087,Peju 2008 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,90,22.0,
2130,Fournier Père et Fils 2010 Côtes de Morogues  (Menetou-Salon),Sauvignon Blanc,France,88,22.0,Roger Voss
2172,Matthews 2016 Reserve Sauvignon Blanc (Columbia Valley (WA)),Sauvignon Blanc,US,90,35.0,Sean P. Sullivan
2178,Pratsch 2016 Ried Kittel Sauvignon Blanc (Niederösterreich),Sauvignon Blanc,Austria,90,16.0,Anne Krebiehl MW
2195,Red C 2014 Allan Nelson Vineyard Sauvignon Blanc (Dry Creek Valley),Sauvignon Blanc,US,88,24.0,Virginie Boone
2274,Banshee Wines 2012 Sauvignon Blanc (Sonoma County),Sauvignon Blanc,US,85,18.0,
2289,Martin Ranch 2011 J.D. Hurley Sauvignon Blanc (Santa Clara Valley),Sauvignon Blanc,US,84,20.0,Virginie Boone
2292,Ciringa 2011 Fosilni Breg Sauvignon Blanc (Slovenia),Sauvignon Blanc,Slovenia,84,20.0,Anna Lee C. Iijima
2326,14 Hands 2014 Sauvignon Blanc (Washington),Sauvignon Blanc,US,85,10.0,Sean P. Sullivan
2389,Domaine Girard 2016 Benoît Girard  (Sancerre),Sauvignon Blanc,France,87,25.0,Roger Voss
2418,Arboleda 2011 Sauvignon Blanc (Aconcagua Valley),Sauvignon Blanc,Chile,85,18.0,Michael Schachner
2440,J. Lohr 2013 Flume Crossing Sauvignon Blanc (Arroyo Seco),Sauvignon Blanc,US,90,14.0,Matt Kettmann
2560,Waipara Hills 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,89,19.0,Joe Czerwinski
2610,Bougetz 2012 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,90,24.0,
2614,Chateau Ste. Michelle 2012 Sauvignon Blanc (Columbia Valley (WA)),Sauvignon Blanc,US,90,11.0,Paul Gregutt
2698,Santa Ines 2001 Legado de Armida Reserva Sauvignon Blanc (Maipo Valley),Sauvignon Blanc,Chile,87,10.0,Michael Schachner
2740,Black Stallion 2015 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,86,19.0,Virginie Boone
2762,Rios de Chile 2015 Sauvignon Blanc (Central Valley),Sauvignon Blanc,Chile,84,12.0,Michael Schachner
2777,Santa Alicia 2015 Reserva Sauvignon Blanc (Maipo Valley),Sauvignon Blanc,Chile,83,10.0,Michael Schachner
2837,Cottesbrook 2016 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,88,15.0,Joe Czerwinski
2871,Fournier Père et Fils 2010 Cuvée Silex  (Sancerre),Sauvignon Blanc,France,91,40.0,Roger Voss
2924,Carmen 2009 Sauvignon Blanc (Curicó Valley),Sauvignon Blanc,Chile,84,10.0,Michael Schachner
2926,Simonnet-Febvre 2007 Sauvignon de Saint-Bris  (Saint-Bris),Sauvignon Blanc,France,84,13.0,Roger Voss
2940,Castello di Borghese 2006 Founder's Field Reserve Sauvignon Blanc (North Fork of Long Island),Sauvignon Blanc,US,84,26.0,
2942,Doña Paula 2009 Los Cardos Sauvignon Blanc (Mendoza),Sauvignon Blanc,Argentina,84,10.0,Michael Schachner
2947,Finca Sophenia 2009 Altosur Sauvignon Blanc (Tupungato),Sauvignon Blanc,Argentina,83,11.0,Michael Schachner
2964,Pascual Toso 2007 Maipu Vineyards Sauvignon Blanc (Mendoza),Sauvignon Blanc,Argentina,85,12.0,Michael Schachner
3137,Sattlerhof 2006 Steirische Klassik Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Austria,89,25.0,Roger Voss
3150,Breggo 2006 Ferrington Vineyard Sauvignon Blanc (Anderson Valley),Sauvignon Blanc,US,89,22.0,
3187,Lackner Tinnacher 2015 Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Austria,90,19.0,Anne Krebiehl MW
3241,Barnard Griffin 2014 Fumé Blanc Dry Sauvignon Blanc (Columbia Valley (WA)),Sauvignon Blanc,US,86,9.0,Sean P. Sullivan
3263,Oyster Bay 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,86,15.0,Joe Czerwinski
3291,X 2006 ES Vineyard Sauvignon Blanc (Lake County),Sauvignon Blanc,US,87,17.0,
3322,Mt. Beautiful 2009 Sauvignon Blanc (Canterbury),Sauvignon Blanc,New Zealand,87,20.0,Joe Czerwinski
3408,Finca Salazar 2014 Sauvignon Blanc (Vino de la Tierra de Castilla),Sauvignon Blanc,Spain,83,11.0,Michael Schachner
3430,Stag's Leap Wine Cellars 2013 Aveta Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,86,26.0,Virginie Boone
3455,Balletto 2015 Estate Grown Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,US,88,19.0,Virginie Boone
3533,Woodinville Wine Cellars 2012 Sauvignon Blanc (Columbia Valley (WA)),Sauvignon Blanc,US,92,18.0,Paul Gregutt
3550,Manfred Tement 2010 Zieregg Grosse Lage Sauvignon Blanc (Südoststeiermark),Sauvignon Blanc,Austria,92,,Roger Voss
3559,Château de Sancerre 2015  Sancerre,Sauvignon Blanc,France,89,30.0,Roger Voss
3566,Domaine de l'Hermitage 2015 Première Lune  (Menetou-Salon),Sauvignon Blanc,France,89,20.0,Roger Voss
3567,Domaine de Rome 2015  Sancerre,Sauvignon Blanc,France,89,20.0,Roger Voss
3575,Domaine Philippe Gilbert 2015  Menetou-Salon,Sauvignon Blanc,France,89,23.0,Roger Voss
3584,Blue Valley 2015 Sauvignon Blanc (Middleburg),Sauvignon Blanc,US,89,28.0,Carrie Dykes
3608,Rock Hollow 2010 Vintner's Selection Sauvignon Blanc (Santa Barbara County),Sauvignon Blanc,US,86,13.0,
3611,Zina Hyde Cunningham 2010 Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,US,86,22.0,
3619,Viña Chocalan 2010 Selección Sauvignon Blanc (Maipo Valley),Sauvignon Blanc,Chile,82,15.0,Michael Schachner
3630,Amayna 2011 Sauvignon Blanc (Leyda Valley),Sauvignon Blanc,Chile,82,20.0,Michael Schachner
3650,Chalk Hill 2006 Estate Bottled Sauvignon Blanc (Chalk Hill),Sauvignon Blanc,US,93,30.0,
3667,Frenzy 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,84,10.0,Joe Czerwinski
3682,MAN Vintners 2009 Sauvignon Blanc (Western Cape),Sauvignon Blanc,South Africa,84,11.0,Lauren Buzzeo
3683,Nederburg 2009 Manor House Sauvignon Blanc (Western Cape),Sauvignon Blanc,South Africa,84,19.0,Lauren Buzzeo
3684,Robertson Winery 2009 Sauvignon Blanc (Robertson),Sauvignon Blanc,South Africa,84,10.0,Lauren Buzzeo
3685,Seresin 2009 Momo Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,84,22.0,Joe Czerwinski
3763,Grove Mill 2013 Sauvignon Blanc (Wairau Valley),Sauvignon Blanc,New Zealand,86,15.0,Joe Czerwinski
3765,Leonard Oakes 2012 Reserve Series Sauvignon Blanc (New York),Sauvignon Blanc,US,86,17.0,Anna Lee C. Iijima
3766,Long Meadow Ranch 2013 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,86,20.0,
3781,Wairau River 2013 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,86,16.0,Joe Czerwinski
3806,Noble Vines 2013 242 Sauvignon Blanc (Monterey),Sauvignon Blanc,US,88,13.0,Matt Kettmann
3869,Clos Pegase 2009 Mitsuko's Vineyard Sauvignon Blanc (Carneros),Sauvignon Blanc,US,91,20.0,
3879,Frog's Leap 2009 Sauvignon Blanc (Rutherford),Sauvignon Blanc,US,86,18.0,
3889,Beltane Ranch 2009 Estate Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,US,86,23.0,
3894,Domaine Henry Pellé 2008 Les Bornés  (Menetou-Salon),Sauvignon Blanc,France,86,,Roger Voss
3898,Villa San Juliette 2008 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,US,86,12.0,
3975,Longboard 2009 Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,US,90,20.0,
3979,Saint Clair 2007 Vicar's Choice Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,85,16.0,Joe Czerwinski
3993,Maddalena 2006 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,US,85,13.0,
3994,Beringer 2006 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,85,16.0,
4001,Breaux 2012 Sauvignon Blanc (Virginia),Sauvignon Blanc,US,88,19.0,
4003,Chalk Hill 2012 Estate Sauvignon Blanc (Chalk Hill),Sauvignon Blanc,US,88,33.0,
4009,Dr. Konstantin Frank 2012 Sauvignon Blanc (Finger Lakes),Sauvignon Blanc,US,88,20.0,Anna Lee C. Iijima
4015,Kim Crawford 2013 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,88,18.0,Joe Czerwinski
4017,Maimai 2013 Sauvignon Blanc (Hawke's Bay),Sauvignon Blanc,New Zealand,88,16.0,Joe Czerwinski
4031,Buttonwood 2015 Zingy Sauvignon Blanc,Sauvignon Blanc,US,88,20.0,Matt Kettmann
4033,Chateau Ste. Michelle 2015 Horse Heaven Vineyard Sauvignon Blanc (Horse Heaven Hills),Sauvignon Blanc,US,88,15.0,Sean P. Sullivan
4061,Twomey 2014 Sauvignon Blanc (Napa County-Sonoma County),Sauvignon Blanc,US,90,25.0,Virginie Boone
4066,Matanzas Creek 2013 Helena Bench Sauvignon Blanc (Knights Valley),Sauvignon Blanc,US,90,40.0,Virginie Boone
4072,Pech Merle 2014 Sauvignon Blanc (Dry Creek Valley),Sauvignon Blanc,US,90,19.0,Virginie Boone
4081,Henri Bourgeois 2013 La Demoiselle de Bourgeois  (Pouilly-Fumé),Sauvignon Blanc,France,90,35.0,Roger Voss
4096,Stag's Leap Wine Cellars 2013 Aveta Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,86,26.0,Virginie Boone
4101,Treasure 2013 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,86,24.0,Virginie Boone
4109,Estampa 2014 Del Viento Paredones Estate Single Vineyard Sauvignon Blanc (Colchagua Valley),Sauvignon Blanc,Chile,86,20.0,Michael Schachner
4116,Liberated 2015 Sauvignon Blanc (North Coast),Sauvignon Blanc,US,90,17.0,Jim Gordon
4191,Tin Barn 2013 Hi Vista Vineyard Sauvignon Blanc (Carneros),Sauvignon Blanc,US,87,19.0,Virginie Boone
4200,Kunde 2015 Magnolia Lane Estate Grown Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,US,87,17.0,Virginie Boone
4224,Firestone 2015 Barrel Select Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,US,87,20.0,Matt Kettmann
4247,Montes 2016 Spring Harvest Sauvignon Blanc (Leyda Valley),Sauvignon Blanc,Chile,88,16.0,Michael Schachner
4306,Wairau River 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,89,15.0,Joe Czerwinski
4312,Ledgewood Creek 2007 Estate Grown Sauvignon Blanc (Suisun Valley),Sauvignon Blanc,US,89,13.0,
4315,Domaine Seguin 2007  Pouilly-Fumé,Sauvignon Blanc,France,89,32.0,Roger Voss
4328,Fournier Père et Fils 2005 Grand Cuvée Fournier Vieilles Vignes  (Sancerre),Sauvignon Blanc,France,88,28.0,Roger Voss
4353,Cannonball 2015 Sauvignon Blanc (Sonoma County),Sauvignon Blanc,US,90,15.0,Virginie Boone
4374,Girard 2009 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,91,16.0,
4454,Clos du Lac 2011 Sauvignon Blanc (Amador County),Sauvignon Blanc,US,85,10.0,Virginie Boone
4464,Provenance Vineyards 2011 Estate Grown Sauvignon Blanc (Rutherford),Sauvignon Blanc,US,85,32.0,
4467,Robledo 2011 Seven Brothers Sauvignon Blanc (Lake County),Sauvignon Blanc,US,85,22.0,Virginie Boone
4481,Château de Crézancy 2015  Sancerre,Sauvignon Blanc,France,91,24.0,Roger Voss
4483,Domaine Girard 2015 Philippe Girard  (Sancerre),Sauvignon Blanc,France,91,26.0,Roger Voss
4494,Jean-Max Roger 2013 Vieilles Vignes  (Sancerre),Sauvignon Blanc,France,91,,Roger Voss
4501,Nitida 2015 Cape Winemakers Guild Swan Song Sauvignon Blanc (Durbanville),Sauvignon Blanc,South Africa,89,,Lauren Buzzeo
4534,Cara Mia NV Sauvignon Blanc (Delle Venezie),Sauvignon Blanc,Italy,82,20.0,
4551,Green Truck 2011 Sauvignon Blanc (Lake County),Sauvignon Blanc,US,81,14.0,Virginie Boone
4566,Loft 2015 Sauvignon Blanc (California),Sauvignon Blanc,US,85,25.0,Jim Gordon
4632,Domaine Laporte 2016 Le Rochoy  (Sancerre),Sauvignon Blanc,France,94,30.0,Roger Voss
4635,Henri Bourgeois 2014 Etienne Henri  (Sancerre),Sauvignon Blanc,France,94,65.0,Roger Voss
4644,Daniel Chotard 2015 Les Cris  (Sancerre),Sauvignon Blanc,France,94,39.0,Roger Voss
4645,Domaine Bernard Fleuriet et Fils 2015 Pur Jus  (Sancerre),Sauvignon Blanc,France,94,50.0,Roger Voss
4671,Point & Line 2014 Vogelzang Vineyard Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,US,91,25.0,Matt Kettmann
4739,Gainey 1998 Limited Selection Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,US,90,20.0,
4747,Robert Mondavi 1998 Sauvignon Blanc (Stags Leap District),Sauvignon Blanc,US,89,18.0,
4752,Merryvale 1999 Reserve Sauvignon Blanc (California),Sauvignon Blanc,US,89,22.0,
4757,Eagle & Rose Estate 1998 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,88,16.0,
4779,Gross 2012 Sulz Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Austria,90,,Anne Krebiehl MW
4792,Castelluccio 2009 Lunaria Sauvignon Blanc (Forlì),Sauvignon Blanc,Italy,85,16.0,
4821,Mercer 2007 Sauvignon Blanc (Columbia Valley (WA)),Sauvignon Blanc,US,85,15.0,Paul Gregutt
4841,Quintay 2015 Q Grand Reserve Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Chile,87,10.0,Michael Schachner
4844,Santa Ema 2015 Reserva Sauvignon Blanc (Leyda Valley),Sauvignon Blanc,Chile,87,14.0,Michael Schachner
4952,Dancing Derby 2009 Sauvignon Blanc (California),Sauvignon Blanc,US,86,13.0,
4956,Domaine Roblin 2010 Ammonites  (Sancerre),Sauvignon Blanc,France,90,37.0,Roger Voss
4968,Patient Cottat 2010 Anciennes Vignes  (Sancerre),Sauvignon Blanc,France,90,26.0,Roger Voss
4970,Domaine Seguin 2011  Pouilly-Fumé,Sauvignon Blanc,France,90,29.0,Roger Voss
4972,San Pedro 2012 1865 Single Vineyard Sauvignon Blanc (Leyda Valley),Sauvignon Blanc,Chile,90,19.0,Michael Schachner
4986,Drylands 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,88,15.0,Joe Czerwinski
4987,Elki 2008 Sauvignon Blanc (Elqui Valley),Sauvignon Blanc,Chile,88,15.0,Michael Schachner
4992,Shaw and Smith 2008 Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Australia,88,25.0,Joe Czerwinski
4995,Mud House 2007 Swan Sauvignon Blanc (Marlborough),Sauvignon Blanc,New Zealand,88,19.0,Joe Czerwinski
4999,Viña Mar de Casablanca 2008 Reserva Especial Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Chile,88,19.0,Michael Schachner
5051,Wildhurst 2013 Reserve Sauvignon Blanc (Lake County),Sauvignon Blanc,US,91,14.0,Jim Gordon
5061,Happy Canyon Vineyard 2012 Sauvignon Blanc (Happy Canyon of Santa Barbara),Sauvignon Blanc,US,87,21.0,Matt Kettmann
5087,Pezat 2012  Bordeaux Blanc,Sauvignon Blanc,France,86,15.0,Roger Voss
5089,Purlieu 2012 Le Pich Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,86,24.0,
5102,Baehner Fournier 2012 Vogelzang Vineyard Sauvignon Blanc (Happy Canyon of Santa Barbara),Sauvignon Blanc,US,86,20.0,
5151,Babcock 2009 Estate Grown Sauvignon Blanc (Sta. Rita Hills),Sauvignon Blanc,US,87,18.0,
5192,François Millet 2012 Domaine des Côtes Blanches  (Sancerre),Sauvignon Blanc,France,90,25.0,Roger Voss
5219,Lancaster 2013 Samantha's Sauvignon Blanc (Alexander Valley),Sauvignon Blanc,US,92,30.0,Virginie Boone
5241,Clement et Florian Berthier 2014 Terre de Silex Sauvignon Blanc (Coteaux du Giennois),Sauvignon Blanc,France,91,23.0,Roger Voss
5245,Domaine Matthias et Emile Roblin 2014 Enclos de Maimbray  (Sancerre),Sauvignon Blanc,France,91,30.0,Roger Voss
5246,Domaine Pellé 2014 Les Blanchais  (Menetou-Salon),Sauvignon Blanc,France,91,34.0,Roger Voss
5257,Isabelle et Pierre Clément 2014 La Dame de Châtenoy  (Menetou-Salon),Sauvignon Blanc,France,91,26.0,Roger Voss
5273,El Roy 2010 Nelson Vineyards Sauvignon Blanc (Dry Creek Valley),Sauvignon Blanc,US,88,15.0,
5277,Garces Silva 2013 Boya Sauvignon Blanc (Leyda Valley),Sauvignon Blanc,Chile,88,18.0,Michael Schachner
5294,Katnook Estate 2009 Sauvignon Blanc (Coonawarra),Sauvignon Blanc,Australia,88,22.0,Joe Czerwinski
5302,Southern Right 2010 Sauvignon Blanc (Walker Bay),Sauvignon Blanc,South Africa,88,19.0,Lauren Buzzeo
5305,Taltarni 2009 Three Monks Fumé Blanc Sauvignon Blanc (South Eastern Australia),Sauvignon Blanc,Australia,88,20.0,Joe Czerwinski
5358,Waterstone 2013 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,US,89,18.0,Virginie Boone
5378,Henri Bourgeois 2012 Petit Bourgeois Sauvignon Blanc (Vin de Pays du Val de Loire),Sauvignon Blanc,France,85,13.0,Roger Voss
5420,Evans & Tate 2015 Fresh As A Daisy Sauvignon Blanc (Australia),Sauvignon Blanc,Australia,88,,Joe Czerwinski
5444,Morgan 2010 Sauvignon Blanc (Monterey),Sauvignon Blanc,US,88,16.0,
5472,Rios de Chile 2012 Reserva Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Chile,86,15.0,Michael Schachner
5473,Round Pond 2012 Estate Sauvignon Blanc (Rutherford),Sauvignon Blanc,US,86,24.0,
5484,Caliterra 2011 Tributo Single Vineyard Block #Algarrobo Sauvignon Blanc (Leyda Valley),Sauvignon Blanc,Chile,86,16.0,Michael Schachner
5493,Neumeister 2012 Klausen Sauvignon Blanc (Südoststeiermark),Sauvignon Blanc,Austria,93,32.0,Anne Krebiehl MW
5516,Peltier 2013 Hybrid Sauvignon Blanc (Lodi),Sauvignon Blanc,US,83,10.0,Jim Gordon
5532,Alto Los Romeros 2014 Sauvignon Blanc (Central Valley),Sauvignon Blanc,Chile,82,9.0,Michael Schachner
